joined_composite_id,election,host_locality_code,host_kalpi,component_locality_codes,evidence_status,evidence_method,note,display_mode
composite:joined-k19-13,K19,13,1,13|1053|1187,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-23,K19,23,,23|1368|1369,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-47,K19,47,2,47|371,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-107,K19,107,,107|1376,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-198,K19,198,2,198|1076,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-247,K19,247,,247|1324,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-274,K19,274,1,274|1339,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-363,K19,363,,363|1371,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-382,K19,382,1,382|1318,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-387,K19,387,1,387|897,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-390,K19,390,,390|1143,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-405,K19,405,,405|1134,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-440,K19,440,,440|1372,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-442,K19,442,,442|833,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-465,K19,465,1,465|886,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-553,K19,553,1,553|392,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-567,K19,567,1,567|493|566,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-578,K19,578,,578|1213,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-585,K19,585,1,585|1322,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-689,K19,689,,689|212,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-827,K19,827,1,827|2006,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-885,K19,885,,885|1340,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1024,K19,1024,1,1024|412,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1084,K19,1084,1,1084|88,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1137,K19,1137,2,1137|2039,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1140,K19,1140,1,1140|1373,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1156,K19,1156,,1156|1248,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1172,K19,1172,,1172|1185,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1188,K19,1188,1,1188|1276,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1197,K19,1197,1,1197|1266|1267|1279,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1233,K19,1233,,1233|3724,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1258,K19,1258,1,1258|1225,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1261,K19,1261,1,1261|1196,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1280,K19,1280,1,1280|328|1278,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1291,K19,1291,,1291|1195,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-1366,K19,1366,,1366|1364,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-2053,K19,2053,1,2053|1117,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-2300,K19,2300,8,2300|882,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-3000,K19,3000,322,3000|1056,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-3599,K19,3599,,3599|3782|3785,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-3601,K19,3601,1,3601|3786,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-3619,K19,3619,,3619|3646,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-4201,K19,4201,,4201|4502,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-4301,K19,4301,,4301|4019,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-7800,K19,7800,,7800|926,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k19-9200,K19,9200,17,9200|1154,confirmed,exact_eligible_arithmetic,Archived polling registers exactly reconcile to the published host eligible-voter total.
composite:joined-k20-13,K20,13,,13|1053|1187,confirmed,explicit_source_location,The official K20 polling-location row explicitly places each attached register in the host locality.
composite:joined-k20-47,K20,47,,47|371,confirmed,explicit_source_location,The official K20 polling-location row explicitly places each attached register in the host locality.
